Year,FG_num,FG_name,mean_density,n_areas_contributing,n_samples_total
2006,58,Rays and skates,0.394733118441884,9,515
2006,19,European sardine adult,3.46285917929098,6,286
2006,16,Mackerels,0.175135263563333,6,331
2006,55,Small-spotted catshark,0.192946747053008,9,481
2006,24,Other small pelagic fish,0.536070883953763,7,432
2006,59,Torpedos,0.01502221688943,6,321
2006,17,Horse mackerels,4.25523600811048,9,522
2006,32,Poor cod,0.214075548485079,8,434
2006,45,Other commercial medium demersal fish,0.128235559385627,9,521
2007,61,Benthopelagic cephalopods,0.075531969856733,9,539
2007,74,Non-commercial decapods,0.143517545910258,9,507
2007,64,Bivalves,0.0300765908169017,5,150
2007,44,Flatfishes,0.332207972477084,9,539
2007,63,Other benthic cephalopods,0.0760112369877544,9,539
2007,65,Gastropods,0.00188140019802056,7,342
2007,53,No commercial small demersal fish,0.268550026020766,9,539
2007,35,Sparidae+,1.59556889082097,9,540
2007,46,No commercial medium demersal fish,0.108100641375568,8,440
2007,28,European conger,0.0320235962057815,9,530
2007,37,Common two-banded seabream,0.0448581215873167,6,159
2007,54,Bathydemersal (deep sea) fish,0.871377320254366,9,440
2007,25,Benthopelagic fishes,0.195972215227561,9,392
2007,40,Scorpaenidae+,0.25260271932492,9,540
2007,27,Anglerfish,0.176202457596114,9,499
2007,29,European hake juv.,0.347871388057652,8,533
2007,50,Red mullet,0.211444310144799,8,445
2007,51,Surmullet,0.0930276303510791,9,444
2007,60,Coastal benthic cephalopods,0.179056354362849,9,373
2007,34,Common pandora,0.146262423443478,9,317
2007,77,Sea cucumbers,0.00888430870103827,5,283
2007,58,Rays and skates,0.432152725791285,9,520
2007,19,European sardine adult,3.68702550493731,9,305
2007,16,Mackerels,0.311998101985339,7,260
2007,55,Small-spotted catshark,0.18540337990112,9,482
2007,43,Labridae and serranidae+,0.118820855432602,9,397
2007,24,Other small pelagic fish,1.32217911000174,8,304
2007,45,Other commercial medium demersal fish,0.121941890530212,9,540
2007,17,Horse mackerels,11.2855705097243,9,539
2008,64,Bivalves,0.0137989604236514,5,213
2008,61,Benthopelagic cephalopods,0.0857011343103348,9,534
2008,44,Flatfishes,0.157998675243967,9,534
2008,65,Gastropods,0.0012584102904754,5,290
2008,53,No commercial small demersal fish,0.184918367287819,9,534
2008,35,Sparidae+,2.22764915338328,9,534
2008,28,European conger,0.03484644142875,8,463
2008,74,Non-commercial decapods,0.0856965569095961,9,507
2008,37,Common two-banded seabream,0.0347218157901719,6,142
2008,46,No commercial medium demersal fish,0.0555088095968542,8,363
2008,63,Other benthic cephalopods,0.0572120933966688,9,534
2008,40,Scorpaenidae+,0.192524099565806,9,534
2008,48,Mugilidae,0.305344524801408,3,31
2008,27,Anglerfish,0.144541461782084,9,516
2008,29,European hake juv.,0.525443357561019,9,530
2008,50,Red mullet,0.107136443948307,8,443
2008,51,Surmullet,0.0392987742143157,8,470
2008,60,Coastal benthic cephalopods,0.14311868753993,9,445
2008,34,Common pandora,0.0961873256222459,9,369
2008,77,Sea cucumbers,0.0121203412470396,5,291
2008,19,European sardine adult,2.8444400271889,9,290
2008,16,Mackerels,0.361610811082443,5,201
2008,55,Small-spotted catshark,0.134591144806505,9,489
2008,43,Labridae and serranidae+,0.0598858894046151,9,434
2008,18,Other medium pelagic fishes,0.205565114033158,5,74
2008,24,Other small pelagic fish,0.790158100232967,8,397
2008,59,Torpedos,0.0264608940261231,7,304
2008,17,Horse mackerels,6.57860100000052,9,534
2009,61,Benthopelagic cephalopods,0.0984775394872674,9,540
2009,44,Flatfishes,0.317323901271164,9,539
2009,53,No commercial small demersal fish,0.19060462164054,9,539
2009,65,Gastropods,0.00161818569886712,6,300
2009,35,Sparidae+,1.51282304904985,9,540
2009,74,Non-commercial decapods,0.124757484443382,9,517
2009,40,Scorpaenidae+,0.24408540590985,9,540
2009,28,European conger,0.0260285583718349,9,485
2009,37,Common two-banded seabream,0.0446578057651911,6,110
2009,63,Other benthic cephalopods,0.0963668505213157,9,539
2009,27,Anglerfish,0.200706286045071,9,524
2009,29,European hake juv.,0.48012608498838,9,538
2009,50,Red mullet,0.09316005005006,8,495
2009,51,Surmullet,0.119093873017121,9,478
2009,60,Coastal benthic cephalopods,0.163888843432359,9,401
2009,46,No commercial medium demersal fish,0.0514706769422234,9,426
2009,34,Common pandora,0.125648818391448,9,367
2009,77,Sea cucumbers,0.0131963830516283,5,289
2009,19,European sardine adult,1.45477403585973,8,324
2009,39,Red scorpionfish,0.0198969982713711,5,207
2009,55,Small-spotted catshark,0.142011320347614,9,498
2009,43,Labridae and serranidae+,0.0754511816238355,9,416
2009,24,Other small pelagic fish,1.08868936025022,9,355
2009,73,Other commercial decapods,0.00896659204788441,8,301
2009,59,Torpedos,0.0116897051483297,9,398
2009,17,Horse mackerels,4.40207576087466,9,540
2009,45,Other commercial medium demersal fish,0.116868841507434,9,533
2010,61,Benthopelagic cephalopods,0.131606962782663,8,497
2010,74,Non-commercial decapods,0.133899875272619,8,469
2010,44,Flatfishes,0.288132784863067,8,494
2010,65,Gastropods,0.000987285000716744,6,295
2010,53,No commercial small demersal fish,0.25824500945255,8,497
2010,35,Sparidae+,1.85255376237224,8,497
2010,28,European conger,0.0264696476742513,8,464
2010,37,Common two-banded seabream,0.0316115650068679,7,131
2010,46,No commercial medium demersal fish,0.0756020470086951,8,389
2010,29,European hake juv.,0.523424749974092,8,497
2010,50,Red mullet,0.138144095510115,8,448
2010,51,Surmullet,0.0467726717667228,8,444
2010,57,Other small demersal sharks,0.0533044414693418,8,262
2010,60,Coastal benthic cephalopods,0.178606257278599,8,390
2010,34,Common pandora,0.113047865446053,8,346
2010,77,Sea cucumbers,0.00725869122937144,4,233
2010,64,Bivalves,0.010187767520481,4,149
2010,40,Scorpaenidae+,0.208849014455684,8,497
2010,55,Small-spotted catshark,0.14963106750798,8,441
2010,63,Other benthic cephalopods,0.0891229707622895,8,497
2010,43,Labridae and serranidae+,0.0858634789732335,8,369
2010,24,Other small pelagic fish,1.00190443458286,8,377
2010,73,Other commercial decapods,0.00415593887439182,7,275
2010,59,Torpedos,0.013050126549837,7,328
2010,17,Horse mackerels,4.83139871578133,8,497
2011,61,Benthopelagic cephalopods,0.107958654780556,9,548
2011,74,Non-commercial decapods,0.140457096779607,9,499
2011,65,Gastropods,0.00140688769403038,6,359
2011,44,Flatfishes,0.283947372859723,9,548
2011,63,Other benthic cephalopods,0.104914978713341,9,548
2011,35,Sparidae+,2.17144584391209,9,548
2011,53,No commercial small demersal fish,0.232575258716512,9,548
2011,46,No commercial medium demersal fish,0.054805972771428,9,522
2011,28,European conger,0.0172737293103234,9,452
2011,37,Common two-banded seabream,0.017454812781496,7,163
2011,11,Pelagic sharks,0.525652076504322,1,3
2011,64,Bivalves,0.0512904545871303,6,205
2011,40,Scorpaenidae+,0.240287782701571,9,548
2011,29,European hake juv.,0.286290931733066,8,541
2011,50,Red mullet,0.139249962597822,8,493
2011,51,Surmullet,0.0513192977860313,8,485
2011,60,Coastal benthic cephalopods,0.301907152622337,9,427
2011,34,Common pandora,0.110781071224875,8,368
2011,77,Sea cucumbers,0.0110611828586151,6,359
2011,58,Rays and skates,0.565081969099761,9,519
2011,39,Red scorpionfish,0.0302632552229808,8,219
2011,43,Labridae and serranidae+,0.0903360652990251,9,427
2011,24,Other small pelagic fish,4.29359576520406,8,437
2011,73,Other commercial decapods,0.00360583707484309,7,271
2011,17,Horse mackerels,5.00373372343044,9,548
2012,74,Non-commercial decapods,0.193479400969703,9,555
2012,64,Bivalves,0.014164682541104,8,359
2012,82,Other corals and gorgonians,0.00244698121030697,8,356
2012,61,Benthopelagic cephalopods,0.0829892224461875,9,555
2012,44,Flatfishes,0.428793167658097,9,555
2012,78,Other macro-benthos,0.0541446307601157,9,483
2012,65,Gastropods,0.00196834038937607,9,535
2012,53,No commercial small demersal fish,0.195846564298197,9,555
2012,35,Sparidae+,1.69415321701584,9,555
2012,46,No commercial medium demersal fish,0.0753340088740364,9,462
2012,28,European conger,0.0173479329621667,9,500
2012,40,Scorpaenidae+,0.208927215260059,9,555
2012,37,Common two-banded seabream,0.0339276100931817,7,128
2012,77,Sea cucumbers,0.0229120436485543,9,545
2012,29,European hake juv.,0.281237401249244,9,550
2012,50,Red mullet,0.112617841957274,8,500
2012,60,Coastal benthic cephalopods,0.18115280647839,9,445
2012,34,Common pandora,0.131175651171239,8,330
2012,81,Red coral,0.00249069259923184,9,368
2012,80,Salps and other gelatinous zooplankton,0.0376876256762764,5,215
2012,58,Rays and skates,0.447438167622728,9,555
2012,19,European sardine adult,0.913011425640216,8,338
2012,23,Round sardinella,0.0754252478137854,5,119
2012,55,Small-spotted catshark,0.16118318662551,9,499
2012,63,Other benthic cephalopods,0.0892067376337197,9,555
2012,43,Labridae and serranidae+,0.0945062988105439,9,420
2012,75,Purple sea urchin,0.246141552164581,8,423
2012,24,Other small pelagic fish,1.4166974037202,8,387
2012,73,Other commercial decapods,0.0116730294118694,9,316
2012,59,Torpedos,0.0154720834917387,9,482
2012,17,Horse mackerels,2.67007299468516,9,555
2012,45,Other commercial medium demersal fish,0.106070386611092,9,554
2013,74,Non-commercial decapods,0.141888945259412,9,572
2013,64,Bivalves,0.0109543891421252,8,450
2013,82,Other corals and gorgonians,0.00116519425952509,8,482
2013,61,Benthopelagic cephalopods,0.162897857685514,9,572
2013,78,Other macro-benthos,0.115334611592014,9,572
2013,44,Flatfishes,0.242934145975894,9,572
2013,65,Gastropods,0.00163282123042617,9,550
2013,53,No commercial small demersal fish,0.219569660859349,9,572
2013,35,Sparidae+,1.54708546016551,9,572
2013,40,Scorpaenidae+,0.197953577864873,9,572
2013,28,European conger,0.0210995146517094,9,496
2013,37,Common two-banded seabream,0.0238107870617913,7,175
